2017-11-07 09:01:42,240 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.234.1:9327/cn.mldn.dibmp.service.ICustomerService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ICustomerService&methods=add&pid=15868&revision=dev&side=provider&timestamp=1510016502156&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:01:42,252 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.234.1:9327/cn.mldn.dibmp.service.ICustomerService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ICustomerService&methods=add&pid=15868&revision=dev&side=provider&timestamp=1510016502156&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:01:42,264 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.234.1:9327/cn.mldn.dibmp.service.ICustomerService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ICustomerService&methods=add&pid=15868&revision=dev&side=provider&timestamp=1510016502156&version=dev, urls: [empty://192.168.234.1:9327/cn.mldn.dibmp.service.ICustomerService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ICustomerService&methods=add&pid=15868&revision=dev&side=provider&timestamp=1510016502156&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:01:42,268 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:05:48,257 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.234.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:05:48,258 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.234.1:2784,url:dubbo://192.168.234.1:9327/cn.mldn.dibmp.service.ICsourceService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ICsourceService&methods=find&pid=15868&revision=dev&side=provider&timestamp=1510016497084&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:07:08,099 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.234.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:07:08,100 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.234.1:3201,url:dubbo://192.168.234.1:9327/cn.mldn.dibmp.service.ICsourceService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ICsourceService&methods=find&pid=15868&revision=dev&side=provider&timestamp=1510016497084&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:08:24,739 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.234.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:08:24,739 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.234.1:3273,url:dubbo://192.168.234.1:9327/cn.mldn.dibmp.service.ICsourceService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ICsourceService&methods=find&pid=15868&revision=dev&side=provider&timestamp=1510016497084&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-07 09:20:07,362 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.234.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
